json_filename,comment,model_mix_label,temperature,history_window,reset_between_episodes,decision_retries,model_0_full,model_1_full,model_2_full,elapsed_seconds,hostname,num_episodes,rounds_per_episode,decision_token_limit,reflection_token_limit,reflection_type,agent_0_total_score,agent_0_total_cooperations,agent_0_overall_coop_rate,agent_1_total_score,agent_1_total_cooperations,agent_1_overall_coop_rate,agent_2_total_score,agent_2_total_cooperations,agent_2_overall_coop_rate,mean_group_coop_rate
3agent_game_20260401_205736.json,W10_T02_ResetTrue,3L,0.2,10,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,18546.617272138596,tungsten,50,20,256,1024,standard,2467,821,0.821,2565,812,0.812,2667,782,0.782,0.805
3agent_game_20260402_043600.json,W5_T02_ResetFalse,3L,0.2,5,False,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,22480.606918096542,tungsten,50,20,256,1024,standard,2985,990,0.99,2987,991,0.991,2973,996,0.996,0.9923333333333333
3agent_game_20260402_043819.json,W10_T02_ResetFalse,3L,0.2,10,False,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,22590.1683716774,tungsten,50,20,256,1024,standard,2239,509,0.509,1801,591,0.591,1953,563,0.563,0.5543333333333333
3agent_game_20260402_044210.json,W10_T07_ResetFalse,3L,0.7,10,False,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,22670.65878224373,tungsten,50,20,256,1024,standard,2101,630,0.63,2201,604,0.604,2143,629,0.629,0.621
3agent_game_20260402_044248.json,W20_T02_ResetFalse,3L,0.2,20,False,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,22783.234848499298,tungsten,50,20,256,1024,standard,2082,553,0.553,2062,585,0.585,1972,590,0.59,0.576
3agent_game_20260402_044306.json,W5_T07_ResetFalse,3L,0.7,5,False,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,22763.477397441864,tungsten,50,20,256,1024,standard,2400,800,0.8,2498,767,0.767,2590,735,0.735,0.7673333333333333
3agent_game_20260402_044320.json,W20_T07_ResetFalse,3L,0.7,20,False,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,22650.203849554062,tungsten,50,20,256,1024,standard,2743,904,0.904,2783,893,0.893,2785,898,0.898,0.8983333333333334
3agent_game_20260407_015040.json,W5_T0.2_ResetTrue,3L,0.2,5,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,37735.42591834068,tungsten,50,20,256,1024,standard,2256,619,0.619,2070,672,0.672,2202,626,0.626,0.6389999999999999
3agent_game_20260407_015555.json,W10_T0.2_ResetTrue,3L,0.2,10,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,37964.84784293175,tungsten,50,20,256,1024,standard,2883,946,0.946,2867,941,0.941,2873,946,0.946,0.9443333333333334
3agent_game_20260407_015613.json,W5_T0.7_ResetTrue,3L,0.7,5,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,38044.83909320831,tungsten,50,20,256,1024,standard,2407,734,0.734,2357,752,0.752,2449,716,0.716,0.734
3agent_game_20260407_020044.json,W20_T0.2_ResetTrue,3L,0.2,20,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,38170.839900016785,tungsten,50,20,256,1024,standard,2788,917,0.917,2758,926,0.926,2872,898,0.898,0.9136666666666667
3agent_game_20260407_020105.json,W20_T0.7_ResetTrue,3L,0.7,20,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,38104.38093042374,tungsten,50,20,256,1024,standard,2408,782,0.782,2522,737,0.737,2454,760,0.76,0.7596666666666666
3agent_game_20260407_020118.json,W10_T0.7_ResetTrue,3L,0.7,10,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,38269.25951695442,tungsten,50,20,256,1024,standard,2406,712,0.712,2360,735,0.735,2384,725,0.725,0.7240000000000001
3agent_game_20260407_020200.json,W5_T1.0_ResetTrue,3L,1.0,5,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,38360.629712581635,tungsten,50,20,256,1024,standard,2322,620,0.62,2146,681,0.681,2210,656,0.656,0.6523333333333334
3agent_game_20260407_020315.json,W20_T1.0_ResetTrue,3L,1.0,20,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,38168.52764368057,tungsten,50,20,256,1024,standard,2158,617,0.617,2164,593,0.593,2070,636,0.636,0.6153333333333334
3agent_game_20260407_020325.json,W10_T1.0_ResetTrue,3L,1.0,10,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,38375.13276386261,tungsten,50,20,256,1024,standard,2374,703,0.703,2376,699,0.699,2302,725,0.725,0.709
3agent_game_20260407_180709.json,Mixed_W10_T0.2_ResetTrue,1L+1M+1G,0.2,10,True,2,llama3:8b-instruct-q5_K_M,mistral:7b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,32072.025614976883,tungsten,50,20,256,1024,standard,1870,608,0.608,1918,592,0.592,2316,453,0.453,0.551
3agent_game_20260407_182307.json,Mixed_W10_T0.7_ResetTrue,1L+1M+1G,0.7,10,True,2,llama3:8b-instruct-q5_K_M,mistral:7b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,33006.72390675545,tungsten,50,20,256,1024,standard,1521,501,0.501,1583,487,0.487,2161,287,0.287,0.425
3agent_game_20260407_182359.json,Mixed_W10_T1.0_ResetTrue,1L+1M+1G,1.0,10,True,2,llama3:8b-instruct-q5_K_M,mistral:7b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,33042.16388130188,tungsten,50,20,256,1024,standard,1241,457,0.457,1377,404,0.404,2093,165,0.165,0.342
3agent_game_20260407_182757.json,Mixed_W5_T0.7_ResetTrue,1L+1M+1G,0.7,5,True,2,llama3:8b-instruct-q5_K_M,mistral:7b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,33360.70721459389,tungsten,50,20,256,1024,standard,1486,494,0.494,1472,491,0.491,2224,246,0.246,0.41033333333333327
3agent_game_20260407_183752.json,Mixed_W5_T1.0_ResetTrue,1L+1M+1G,1.0,5,True,2,llama3:8b-instruct-q5_K_M,mistral:7b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,33934.220963954926,tungsten,50,20,256,1024,standard,1361,449,0.449,1459,417,0.417,1991,219,0.219,0.36166666666666664
3agent_game_20260407_191556.json,Mixed_W5_T0.2_ResetTrue,1L+1M+1G,0.2,5,True,2,llama3:8b-instruct-q5_K_M,mistral:7b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,36322.34675478935,tungsten,50,20,256,1024,standard,945,334,0.334,1287,169,0.169,1627,66,0.066,0.18966666666666665
3agent_game_20260408_114727.json,2Llama_1Mistral_W10_T0.7_ResetTrue,2L+1M,0.7,10,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,mistral:7b-instruct-q5_K_M,55583.71498084068,tungsten,50,20,256,1024,standard,1799,576,0.576,1837,564,0.564,2181,442,0.442,0.5273333333333333
3agent_game_20260408_115511.json,2Llama_1Mistral_W20_T0.2_ResetTrue,2L+1M,0.2,20,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,mistral:7b-instruct-q5_K_M,55825.98182797432,tungsten,50,20,256,1024,standard,1348,452,0.452,1246,487,0.487,2102,162,0.162,0.367
3agent_game_20260408_120108.json,2Llama_1Mistral_W10_T1.0_ResetTrue,2L+1M,1.0,10,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,mistral:7b-instruct-q5_K_M,56221.206293821335,tungsten,50,20,256,1024,standard,1917,613,0.613,2039,569,0.569,2155,525,0.525,0.569
3agent_game_20260408_121130.json,2Llama_1Mistral_W5_T0.7_ResetTrue,2L+1M,0.7,5,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,mistral:7b-instruct-q5_K_M,57124.697123765945,tungsten,50,20,256,1024,standard,1919,550,0.55,1803,580,0.58,2161,478,0.478,0.5359999999999999
3agent_game_20260408_121834.json,2Llama_1Mistral_W5_T1.0_ResetTrue,2L+1M,1.0,5,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,mistral:7b-instruct-q5_K_M,57524.29037094116,tungsten,50,20,256,1024,standard,1871,599,0.599,1885,596,0.596,2267,466,0.466,0.5536666666666666
3agent_game_20260408_121858.json,2Llama_1Mistral_W10_T0.2_ResetTrue,2L+1M,0.2,10,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,mistral:7b-instruct-q5_K_M,57521.35430431366,tungsten,50,20,256,1024,standard,1524,585,0.585,1646,545,0.545,2306,297,0.297,0.4756666666666666
3agent_game_20260408_122243.json,2Llama_1Mistral_W20_T0.7_ResetTrue,2L+1M,0.7,20,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,mistral:7b-instruct-q5_K_M,57306.45565366745,tungsten,50,20,256,1024,standard,1913,636,0.636,2029,604,0.604,2291,509,0.509,0.5830000000000001
3agent_game_20260408_123043.json,2Llama_1Mistral_W20_T1.0_ResetTrue,2L+1M,1.0,20,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,mistral:7b-instruct-q5_K_M,57747.725420475006,tungsten,50,20,256,1024,standard,1873,596,0.596,1775,627,0.627,2337,434,0.434,0.5523333333333332
3agent_game_20260408_125137.json,2Llama_1Mistral_W5_T0.2_ResetTrue,2L+1M,0.2,5,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,mistral:7b-instruct-q5_K_M,59591.02952480316,tungsten,50,20,256,1024,standard,1002,436,0.436,1024,425,0.425,2222,7,0.007,0.28933333333333333
3agent_game_20260412_091409.json,2Llama_1Gemma_W5_T0.2_ResetTrue,2L+1G,0.2,5,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,35576.98864483833,tungsten,50,20,256,1024,standard,1641,588,0.588,1553,618,0.618,2467,304,0.304,0.5033333333333333
3agent_game_20260412_092320.json,2Llama_1Gemma_W5_T0.7_ResetTrue,2L+1G,0.7,5,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,36101.375294446945,tungsten,50,20,256,1024,standard,1911,642,0.642,1907,649,0.649,2439,462,0.462,0.5843333333333333
3agent_game_20260412_093412.json,2Llama_1Gemma_W10_T0.2_ResetTrue,2L+1G,0.2,10,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,36461.4544301033,tungsten,50,20,256,1024,standard,2219,805,0.805,2329,748,0.748,2661,647,0.647,0.7333333333333334
3agent_game_20260412_093902.json,2Llama_1Gemma_W10_T0.7_ResetTrue,2L+1G,0.7,10,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,36714.56621050835,tungsten,50,20,256,1024,standard,2098,729,0.729,2136,708,0.708,2570,566,0.566,0.6676666666666665
3agent_game_20260412_093925.json,2Llama_1Gemma_W20_T0.2_ResetTrue,2L+1G,0.2,20,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,36644.80903053284,tungsten,50,20,256,1024,standard,1962,736,0.736,2024,703,0.703,2602,502,0.502,0.647
3agent_game_20260412_093943.json,2Llama_1Gemma_W20_T0.7_ResetTrue,2L+1G,0.7,20,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,36630.95654988289,tungsten,50,20,256,1024,standard,1993,712,0.712,1971,736,0.736,2641,500,0.5,0.6493333333333333
3agent_game_20260412_094001.json,2Llama_1Gemma_W20_T1.0_ResetTrue,2L+1G,1.0,20,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,36631.77549409866,tungsten,50,20,256,1024,standard,2157,713,0.713,2151,713,0.713,2523,580,0.58,0.6686666666666666
3agent_game_20260412_094030.json,2Llama_1Gemma_W10_T1.0_ResetTrue,2L+1G,1.0,10,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,36779.45903253555,tungsten,50,20,256,1024,standard,1773,563,0.563,1755,579,0.579,2251,393,0.393,0.5116666666666666
3agent_game_20260412_094049.json,2Llama_1Gemma_W5_T1.0_ResetTrue,2L+1G,1.0,5,True,2,llama3:8b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,36887.10154080391,tungsten,50,20,256,1024,standard,1994,593,0.593,1966,622,0.622,2264,496,0.496,0.5703333333333332
3agent_game_20260412_215733.json,2Gemma_1Llama_W5_T0.2_ResetTrue,2G+1L,0.2,5,True,2,gemma2:9b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,31895.06116080284,tungsten,50,20,256,1024,standard,1425,155,0.155,1459,145,0.145,1139,298,0.298,0.19933333333333333
3agent_game_20260412_220245.json,2Gemma_1Llama_W5_T0.7_ResetTrue,2G+1L,0.7,5,True,2,gemma2:9b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,32182.513957738876,tungsten,50,20,256,1024,standard,1664,267,0.267,1662,268,0.268,1382,404,0.404,0.313
3agent_game_20260412_220534.json,2Gemma_1Llama_W10_T0.2_ResetTrue,2G+1L,0.2,10,True,2,gemma2:9b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,32311.164400339127,tungsten,50,20,256,1024,standard,2660,824,0.824,2694,813,0.813,2584,864,0.864,0.8336666666666667
3agent_game_20260412_220629.json,2Gemma_1Llama_W10_T0.7_ResetTrue,2G+1L,0.7,10,True,2,gemma2:9b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,32353.402184009552,tungsten,50,20,256,1024,standard,1390,127,0.127,1440,110,0.11,1030,303,0.303,0.18000000000000002
3agent_game_20260412_220645.json,2Gemma_1Llama_W20_T0.2_ResetTrue,2G+1L,0.2,20,True,2,gemma2:9b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,32336.156264305115,tungsten,50,20,256,1024,standard,2235,538,0.538,2167,555,0.555,1975,651,0.651,0.5813333333333334
3agent_game_20260412_220706.json,2Gemma_1Llama_W10_T1.0_ResetTrue,2G+1L,1.0,10,True,2,gemma2:9b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,32373.82202577591,tungsten,50,20,256,1024,standard,1701,343,0.343,1791,307,0.307,1517,433,0.433,0.361
3agent_game_20260412_220734.json,2Gemma_1Llama_W20_T0.7_ResetTrue,2G+1L,0.7,20,True,2,gemma2:9b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,32365.26768040657,tungsten,50,20,256,1024,standard,1538,178,0.178,1570,166,0.166,1094,392,0.392,0.24533333333333332
3agent_game_20260412_220740.json,2Gemma_1Llama_W20_T1.0_ResetTrue,2G+1L,1.0,20,True,2,gemma2:9b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,32355.660900354385,tungsten,50,20,256,1024,standard,2184,540,0.54,2154,546,0.546,1960,643,0.643,0.5763333333333334
3agent_game_20260412_220814.json,2Gemma_1Llama_W5_T1.0_ResetTrue,2G+1L,1.0,5,True,2,gemma2:9b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,llama3:8b-instruct-q5_K_M,32489.635910987854,tungsten,50,20,256,1024,standard,1376,94,0.094,1294,119,0.119,1056,240,0.24,0.151
3agent_game_20260413_065420.json,3Gemma_W5_T0.2_ResetTrue,3G,0.2,5,True,2,gemma2:9b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,27202.639116048813,tungsten,50,20,256,1024,standard,3000,1000,1.0,3000,1000,1.0,3000,1000,1.0,1.0
3agent_game_20260413_065803.json,3Gemma_W5_T0.7_ResetTrue,3G,0.7,5,True,2,gemma2:9b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,27406.96456670761,tungsten,50,20,256,1024,standard,3000,1000,1.0,3000,1000,1.0,3000,1000,1.0,1.0
3agent_game_20260413_070700.json,3Gemma_W5_T1.0_ResetTrue,3G,1.0,5,True,2,gemma2:9b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,27812.245957136154,tungsten,50,20,256,1024,standard,3000,1000,1.0,3000,1000,1.0,3000,1000,1.0,1.0
3agent_game_20260413_071737.json,3Gemma_W10_T0.2_ResetTrue,3G,0.2,10,True,2,gemma2:9b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,28157.305175304413,tungsten,50,20,256,1024,standard,3000,1000,1.0,3000,1000,1.0,3000,1000,1.0,1.0
3agent_game_20260413_071813.json,3Gemma_W10_T0.7_ResetTrue,3G,0.7,10,True,2,gemma2:9b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,28171.20221066475,tungsten,50,20,256,1024,standard,3000,1000,1.0,3000,1000,1.0,3000,1000,1.0,1.0
3agent_game_20260413_071831.json,3Gemma_W10_T1.0_ResetTrue,3G,1.0,10,True,2,gemma2:9b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,28166.381846427917,tungsten,50,20,256,1024,standard,3000,1000,1.0,3000,1000,1.0,3000,1000,1.0,1.0
3agent_game_20260413_072047.json,3Gemma_W20_T0.2_ResetTrue,3G,0.2,20,True,2,gemma2:9b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,28076.95515370369,tungsten,50,20,256,1024,standard,3000,1000,1.0,3000,1000,1.0,3000,1000,1.0,1.0
3agent_game_20260413_072058.json,3Gemma_W20_T0.7_ResetTrue,3G,0.7,20,True,2,gemma2:9b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,28065.404010295868,tungsten,50,20,256,1024,standard,3000,1000,1.0,3000,1000,1.0,3000,1000,1.0,1.0
3agent_game_20260413_072115.json,3Gemma_W20_T1.0_ResetTrue,3G,1.0,20,True,2,gemma2:9b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,27999.88969182968,tungsten,50,20,256,1024,standard,3000,1000,1.0,3000,1000,1.0,3000,1000,1.0,1.0
3agent_game_20260414_035659.json,Llama_Mistral_Gemma_W10_T1.0_ResetTrue,1L+1M+1G,1.0,10,True,5,llama3:8b-instruct-q5_K_M,mistral:7b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,62964.91963529587,tungsten,50,20,256,1024,standard,1710,565,0.565,1762,542,0.542,2204,374,0.374,0.49366666666666664
3agent_game_20260414_051503.json,Llama_Mistral_Gemma_W20_T0.2_ResetTrue,1L+1M+1G,0.2,20,True,5,llama3:8b-instruct-q5_K_M,mistral:7b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,67625.04935598373,tungsten,50,20,256,1024,standard,973,319,0.319,1419,110,0.11,1425,103,0.103,0.17733333333333334
3agent_game_20260414_053716.json,Llama_Mistral_Gemma_W20_T1.0_ResetTrue,1L+1M+1G,1.0,20,True,5,llama3:8b-instruct-q5_K_M,mistral:7b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,68905.58369898796,tungsten,50,20,256,1024,standard,1744,605,0.605,1810,570,0.57,2314,399,0.399,0.5246666666666666
3agent_game_20260414_055451.json,Llama_Mistral_Gemma_W20_T0.7_ResetTrue,1L+1M+1G,0.7,20,True,5,llama3:8b-instruct-q5_K_M,mistral:7b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,69984.15462136269,tungsten,50,20,256,1024,standard,1504,543,0.543,1728,466,0.466,2128,320,0.32,0.44300000000000006
3agent_game_20260414_063911.json,Llama_Mistral_Gemma_W5_T1.0_ResetTrue,1L+1M+1G,1.0,5,True,5,llama3:8b-instruct-q5_K_M,mistral:7b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,72834.34109783173,tungsten,50,20,256,1024,standard,1482,416,0.416,1440,442,0.442,1940,242,0.242,0.3666666666666667
3agent_game_20260414_064604.json,Llama_Mistral_Gemma_W5_T0.7_ResetTrue,1L+1M+1G,0.7,5,True,5,llama3:8b-instruct-q5_K_M,mistral:7b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,73284.53910160065,tungsten,50,20,256,1024,standard,1416,488,0.488,1594,416,0.416,2028,265,0.265,0.38966666666666666
3agent_game_20260414_065029.json,Llama_Mistral_Gemma_W10_T0.7_ResetTrue,1L+1M+1G,0.7,10,True,5,llama3:8b-instruct-q5_K_M,mistral:7b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,73420.12560558319,tungsten,50,20,256,1024,standard,1577,563,0.563,1699,517,0.517,2249,343,0.343,0.47433333333333333
3agent_game_20260414_065134.json,Llama_Mistral_Gemma_W5_T0.2_ResetTrue,1L+1M+1G,0.2,5,True,5,llama3:8b-instruct-q5_K_M,mistral:7b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,73645.50761079788,tungsten,50,20,256,1024,standard,1586,531,0.531,1624,496,0.496,2212,307,0.307,0.4446666666666667
3agent_game_20260414_075009.json,Llama_Mistral_Gemma_W10_T0.2_ResetTrue,1L+1M+1G,0.2,10,True,5,llama3:8b-instruct-q5_K_M,mistral:7b-instruct-q5_K_M,gemma2:9b-instruct-q5_K_M,77055.56420278549,tungsten,50,20,256,1024,standard,1415,564,0.564,1739,423,0.423,2111,297,0.297,0.42799999999999994
